Name,String,MinimumCycles
IsPrefixOfStringInTable_4,$MftMirr,22992
IsPrefixOfStringInTable_5,$MftMirr,65390
IsPrefixOfStringInTable_6,$MftMirr,19934
IsPrefixOfStringInTable_7,$MftMirr,19580
IsPrefixOfStringInTable_8,$MftMirr,19346
IsPrefixOfStringInTable_9,$MftMirr,19138
IsPrefixOfStringInTable_10,$MftMirr,18810
IsPrefixOfStringInTable_11,$MftMirr,18192
IsPrefixOfStringInTable_12,$MftMirr,19044
IsPrefixOfStringInTable_13,$MftMirr,16614
IsPrefixOfStringInTable_14,$MftMirr,17142
IsPrefixOfStringInTable_x64_1,$MftMirr,7526
IsPrefixOfStringInTable_x64_2,$MftMirr,24754
IsPrefixOfStringInTable_x64_3,$MftMirr,60006
IsPrefixOfStringInTable_x64_4,$MftMirr,23962
IsPrefixOfStringInTable_x64_5,$MftMirr,23778
IntegerDivision_x64_1,$MftMirr,95320
IsPrefixOfCStrInArray,$LogFile,79202
IsPrefixOfStringInTable_1,$LogFile,71982
IsPrefixOfStringInTable_2,$LogFile,22108
IsPrefixOfStringInTable_3,$LogFile,21608
IsPrefixOfStringInTable_4,$LogFile,22970
IsPrefixOfStringInTable_5,$LogFile,65386
IsPrefixOfStringInTable_6,$LogFile,19954
IsPrefixOfStringInTable_7,$LogFile,19566
IsPrefixOfStringInTable_8,$LogFile,19352
IsPrefixOfStringInTable_9,$LogFile,19150
IsPrefixOfStringInTable_10,$LogFile,18792
IsPrefixOfStringInTable_11,$LogFile,18142
IsPrefixOfStringInTable_12,$LogFile,19046
IsPrefixOfStringInTable_13,$LogFile,16612
IsPrefixOfStringInTable_14,$LogFile,17116
IsPrefixOfStringInTable_x64_1,$LogFile,7524
IsPrefixOfStringInTable_x64_2,$LogFile,24760
IsPrefixOfStringInTable_x64_3,$LogFile,59998
IsPrefixOfStringInTable_x64_4,$LogFile,23942
IsPrefixOfStringInTable_x64_5,$LogFile,23780
IntegerDivision_x64_1,$LogFile,95320
IsPrefixOfCStrInArray,$Mft,101354
IsPrefixOfStringInTable_1,$Mft,32022
IsPrefixOfStringInTable_2,$Mft,22034
IsPrefixOfStringInTable_3,$Mft,21608
IsPrefixOfStringInTable_4,$Mft,22968
IsPrefixOfStringInTable_5,$Mft,65400
IsPrefixOfStringInTable_6,$Mft,19928
IsPrefixOfStringInTable_7,$Mft,19540
IsPrefixOfStringInTable_8,$Mft,19346
IsPrefixOfStringInTable_9,$Mft,19140
IsPrefixOfStringInTable_10,$Mft,18794
IsPrefixOfStringInTable_11,$Mft,18048
IsPrefixOfStringInTable_12,$Mft,19106
IsPrefixOfStringInTable_13,$Mft,16618
IsPrefixOfStringInTable_14,$Mft,17116
IsPrefixOfStringInTable_x64_1,$Mft,7524
IsPrefixOfStringInTable_x64_2,$Mft,24776
IsPrefixOfStringInTable_x64_3,$Mft,60000
IsPrefixOfStringInTable_x64_4,$Mft,23936
IsPrefixOfStringInTable_x64_5,$Mft,23780
IntegerDivision_x64_1,$Mft,95344
IsPrefixOfCStrInArray,$Secure,110366
IsPrefixOfStringInTable_1,$Secure,71402
IsPrefixOfStringInTable_2,$Secure,28946
IsPrefixOfStringInTable_3,$Secure,26796
IsPrefixOfStringInTable_4,$Secure,29376
IsPrefixOfStringInTable_5,$Secure,72288
IsPrefixOfStringInTable_6,$Secure,26078
IsPrefixOfStringInTable_7,$Secure,25892
IsPrefixOfStringInTable_8,$Secure,25152
IsPrefixOfStringInTable_9,$Secure,24444
IsPrefixOfStringInTable_10,$Secure,24364
IsPrefixOfStringInTable_11,$Secure,23862
IsPrefixOfStringInTable_12,$Secure,24668
IsPrefixOfStringInTable_13,$Secure,21460
IsPrefixOfStringInTable_14,$Secure,21958
IsPrefixOfStringInTable_x64_1,$Secure,7526
IsPrefixOfStringInTable_x64_2,$Secure,34596
IsPrefixOfStringInTable_x64_3,$Secure,66492
IsPrefixOfStringInTable_x64_4,$Secure,34500
IsPrefixOfStringInTable_x64_5,$Secure,34402
IntegerDivision_x64_1,$Secure,95324
IsPrefixOfCStrInArray,$Volume,132274
IsPrefixOfStringInTable_1,$Volume,88948
IsPrefixOfStringInTable_2,$Volume,28236
IsPrefixOfStringInTable_3,$Volume,26416
IsPrefixOfStringInTable_4,$Volume,29384
IsPrefixOfStringInTable_5,$Volume,72278
IsPrefixOfStringInTable_6,$Volume,26024
IsPrefixOfStringInTable_7,$Volume,25894
IsPrefixOfStringInTable_8,$Volume,25192
IsPrefixOfStringInTable_9,$Volume,24432
IsPrefixOfStringInTable_10,$Volume,24364
IsPrefixOfStringInTable_11,$Volume,23902
IsPrefixOfStringInTable_12,$Volume,24696
IsPrefixOfStringInTable_13,$Volume,21456
IsPrefixOfStringInTable_14,$Volume,21958
IsPrefixOfStringInTable_x64_1,$Volume,7526
IsPrefixOfStringInTable_x64_2,$Volume,34630
IsPrefixOfStringInTable_x64_3,$Volume,66496
IsPrefixOfStringInTable_x64_4,$Volume,34526
IsPrefixOfStringInTable_x64_5,$Volume,34424
IntegerDivision_x64_1,$Volume,95326
IsPrefixOfCStrInArray,$UpCase,121132
IsPrefixOfStringInTable_1,$UpCase,77978
IsPrefixOfStringInTable_2,$UpCase,29006
IsPrefixOfStringInTable_3,$UpCase,26838
IsPrefixOfStringInTable_4,$UpCase,29374
IsPrefixOfStringInTable_5,$UpCase,72242
IsPrefixOfStringInTable_6,$UpCase,26058
IsPrefixOfStringInTable_7,$UpCase,25900
IsPrefixOfStringInTable_8,$UpCase,25164
IsPrefixOfStringInTable_9,$UpCase,24446
IsPrefixOfStringInTable_10,$UpCase,24342
IsPrefixOfStringInTable_11,$UpCase,23932
IsPrefixOfStringInTable_12,$UpCase,24668
IsPrefixOfStringInTable_13,$UpCase,21488
IsPrefixOfStringInTable_14,$UpCase,21974
IsPrefixOfStringInTable_x64_1,$UpCase,7526
IsPrefixOfStringInTable_x64_2,$UpCase,34636
IsPrefixOfStringInTable_x64_3,$UpCase,66492
IsPrefixOfStringInTable_x64_4,$UpCase,34554
IsPrefixOfStringInTable_x64_5,$UpCase,34428
IntegerDivision_x64_1,$UpCase,95322
IsPrefixOfCStrInArray,$Cairo,143618
IsPrefixOfStringInTable_1,$Cairo,63974
IsPrefixOfStringInTable_2,$Cairo,28970
IsPrefixOfStringInTable_3,$Cairo,26812
IsPrefixOfStringInTable_4,$Cairo,29410
IsPrefixOfStringInTable_5,$Cairo,72282
IsPrefixOfStringInTable_6,$Cairo,26028
IsPrefixOfStringInTable_7,$Cairo,25920
IsPrefixOfStringInTable_8,$Cairo,25184
IsPrefixOfStringInTable_9,$Cairo,24394
IsPrefixOfStringInTable_10,$Cairo,24334
IsPrefixOfStringInTable_11,$Cairo,23938
IsPrefixOfStringInTable_12,$Cairo,24680
IsPrefixOfStringInTable_13,$Cairo,21430
IsPrefixOfStringInTable_14,$Cairo,21970
IsPrefixOfStringInTable_x64_1,$Cairo,7526
IsPrefixOfStringInTable_x64_2,$Cairo,34638
IsPrefixOfStringInTable_x64_3,$Cairo,66490
IsPrefixOfStringInTable_x64_4,$Cairo,34568
